epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.66,2.6815,9.09367,3.07973,0.72485,0.10476,0.10044,0.06416,2.74053,5.16564,3.46275,0.000174558,0.000174558,0.000174558
2,293.009,2.78946,7.03948,3.09796,0.73243,0.1606,0.14475,0.0897,2.79508,4.76759,3.49945,0.000347004,0.000347004,0.000347004
3,511.153,2.83552,6.02375,3.08663,0.67421,0.17972,0.16759,0.10151,2.91977,4.67507,3.54287,0.000516558,0.000516558,0.000516558
4,685.058,2.84303,5.33862,3.08042,0.66378,0.21716,0.22418,0.1339,2.97579,4.3375,3.52611,0.000512981,0.000512981,0.000512981
5,818.411,2.80627,4.80588,3.03252,0.51001,0.20366,0.20519,0.12826,2.88853,4.37079,3.51486,0.000508642,0.000508642,0.000508642
6,951.081,2.81156,4.49051,3.04438,0.62011,0.2091,0.22183,0.1379,2.84747,4.49114,3.46948,0.000504302,0.000504302,0.000504302
7,1085.12,2.7648,4.20557,3.00246,0.56818,0.26793,0.2787,0.17176,2.9423,3.78894,3.56658,0.000499963,0.000499963,0.000499963
8,1255.93,2.76398,4.06809,2.98534,0.58324,0.28463,0.30329,0.19127,2.79558,3.71138,3.36353,0.000495624,0.000495624,0.000495624
9,1387.37,2.68961,3.85897,2.94715,0.65985,0.24638,0.28062,0.18353,2.79233,3.85845,3.36712,0.000491284,0.000491284,0.000491284
10,1519.28,2.7272,3.75904,2.94976,0.49238,0.34941,0.34611,0.22301,2.72916,3.29626,3.3588,0.000486945,0.000486945,0.000486945
11,1715.43,2.71424,3.66525,2.94141,0.46038,0.34902,0.33834,0.21593,2.75726,3.42798,3.31328,0.000482605,0.000482605,0.000482605
12,1851.38,2.6902,3.5204,2.92031,0.53073,0.37163,0.36784,0.23057,2.74209,3.0714,3.34877,0.000478265,0.000478265,0.000478265
13,1993.06,2.64838,3.42668,2.91542,0.4879,0.35666,0.36137,0.23301,2.76381,3.28614,3.34369,0.000473926,0.000473926,0.000473926
14,2195.19,2.63335,3.2987,2.88956,0.54884,0.38134,0.35767,0.23133,2.77492,3.20335,3.33327,0.000469586,0.000469586,0.000469586
15,2328.75,2.6418,3.31761,2.89913,0.642,0.35454,0.39117,0.25118,2.6955,3.10402,3.27219,0.000465247,0.000465247,0.000465247
16,2466.53,2.63304,3.223,2.88309,0.62538,0.36967,0.3835,0.24816,2.67505,3.23901,3.31229,0.000460907,0.000460907,0.000460907
17,2601.46,2.58652,3.13487,2.85126,0.52677,0.43063,0.42657,0.27264,2.70893,2.72321,3.29671,0.000456568,0.000456568,0.000456568
18,2733.32,2.57292,3.03372,2.82066,0.66542,0.32819,0.36602,0.23265,2.65311,3.21624,3.22609,0.000452229,0.000452229,0.000452229
19,2869.63,2.56293,3.03066,2.84226,0.64334,0.38415,0.41115,0.25948,2.64301,3.00484,3.20697,0.000447889,0.000447889,0.000447889
20,3085.89,2.54243,2.95658,2.8092,0.545,0.4127,0.41999,0.27353,2.63919,2.99073,3.24204,0.00044355,0.00044355,0.00044355
21,3219.02,2.55865,2.94545,2.8197,0.58143,0.45599,0.45468,0.29091,2.62507,2.82488,3.19292,0.00043921,0.00043921,0.00043921
22,3699.92,2.52685,2.8191,2.78467,0.72211,0.39457,0.48038,0.31483,2.59474,2.66934,3.17785,0.00043487,0.00043487,0.00043487
23,4061.45,2.52966,2.78014,2.78063,0.5498,0.45036,0.44245,0.28523,2.65965,2.95972,3.24366,0.000430531,0.000430531,0.000430531
24,4410.75,2.53501,2.83798,2.8046,0.61809,0.44342,0.50223,0.32017,2.61097,2.68668,3.17382,0.000426191,0.000426191,0.000426191
25,4717.29,2.49725,2.76122,2.78879,0.60636,0.41767,0.49247,0.31537,2.56125,2.73959,3.14807,0.000421852,0.000421852,0.000421852
26,4856.41,2.50473,2.66909,2.77108,0.67039,0.42667,0.49552,0.31714,2.53658,2.58939,3.13426,0.000417512,0.000417512,0.000417512
27,4993.96,2.45197,2.65958,2.7616,0.57983,0.46916,0.51649,0.3335,2.57682,2.47457,3.15103,0.000413173,0.000413173,0.000413173
28,5129.8,2.43941,2.61766,2.75754,0.64458,0.48055,0.52916,0.34706,2.55134,2.51513,3.142,0.000408834,0.000408834,0.000408834
29,5269.7,2.41754,2.56275,2.73815,0.64963,0.44768,0.5425,0.33532,2.59137,2.51411,3.13972,0.000404494,0.000404494,0.000404494
30,5408.56,2.43713,2.56947,2.7381,0.54669,0.53606,0.55208,0.3569,2.51303,2.33385,3.08121,0.000400154,0.000400154,0.000400154
31,5547.73,2.44226,2.51186,2.73718,0.56648,0.47828,0.52532,0.33842,2.57129,2.285,3.10483,0.000395815,0.000395815,0.000395815
32,5678.41,2.41254,2.4789,2.71168,0.61899,0.5501,0.56725,0.36912,2.56318,2.40289,3.11194,0.000391476,0.000391476,0.000391476
33,5773.66,2.40419,2.45251,2.72134,0.6353,0.48982,0.54094,0.34853,2.49186,2.40143,3.06789,0.000387136,0.000387136,0.000387136
34,5868.17,2.42214,2.423,2.73268,0.54527,0.53188,0.55668,0.35655,2.51763,2.39096,3.05894,0.000382796,0.000382796,0.000382796
35,5962.35,2.37349,2.40513,2.69638,0.55672,0.58355,0.57609,0.36747,2.51037,2.39019,3.06129,0.000378457,0.000378457,0.000378457
36,6056.57,2.39355,2.4075,2.70201,0.56917,0.55316,0.58746,0.38118,2.52671,2.15237,3.0843,0.000374117,0.000374117,0.000374117
37,6151.24,2.38999,2.35063,2.70319,0.65883,0.5112,0.55589,0.3618,2.52584,2.37563,3.08831,0.000369778,0.000369778,0.000369778
38,6245.62,2.36323,2.34557,2.68946,0.59311,0.53737,0.58139,0.37522,2.50401,2.21253,3.05755,0.000365439,0.000365439,0.000365439
39,6343.21,2.33548,2.27566,2.64922,0.74355,0.49063,0.58239,0.36166,2.53419,2.29483,3.07652,0.000361099,0.000361099,0.000361099
40,6442.72,2.3496,2.31358,2.67895,0.61712,0.61184,0.62683,0.38927,2.50724,2.22393,3.07217,0.00035676,0.00035676,0.00035676
41,6543.41,2.3219,2.26002,2.66105,0.57806,0.5897,0.60634,0.38889,2.511,2.21301,3.04374,0.00035242,0.00035242,0.00035242
42,6641.06,2.33422,2.23821,2.65166,0.61154,0.59205,0.62986,0.40592,2.47335,2.10603,3.00983,0.00034808,0.00034808,0.00034808
43,6742.1,2.30224,2.22551,2.6453,0.60103,0.55291,0.60641,0.38439,2.47795,2.3668,3.03767,0.000343741,0.000343741,0.000343741
44,6842.87,2.32218,2.18896,2.65092,0.6639,0.61857,0.65112,0.41394,2.46027,1.95254,2.99385,0.000339401,0.000339401,0.000339401
45,6939.87,2.25532,2.15759,2.62795,0.6255,0.6087,0.64175,0.41667,2.44141,1.96674,2.99753,0.000335062,0.000335062,0.000335062
46,7040.83,2.27688,2.13781,2.60883,0.65916,0.614,0.64118,0.39996,2.47462,2.1894,3.01394,0.000330722,0.000330722,0.000330722
47,7140.96,2.26233,2.11364,2.60529,0.65397,0.60925,0.63672,0.40861,2.46737,2.11924,3.02802,0.000326383,0.000326383,0.000326383
48,7244.21,2.27845,2.13186,2.61309,0.72622,0.6031,0.6591,0.4129,2.46348,2.08455,3.02709,0.000322044,0.000322044,0.000322044
49,7352.7,2.27631,2.10348,2.6176,0.59303,0.61816,0.62132,0.40232,2.46608,2.1458,3.00378,0.000317704,0.000317704,0.000317704
